Citycode,City_GDPnew,LONG_X,LAT_Y,LOG_CITY GDP
AE AUH,236059.9,61.03333333,24.46666667,5.373022219
AE DXB,132263.9,63.6,25.25,5.121441324
AR BUE,186523.9,-72,-34.58333333,5.270734487
AT VIE,165025.1,26.36666667,48.2,5.217550005
AU MEL,241400.2,151.6333333,-37.81666667,5.382737626
AU SYD,281982.2,152.8666667,-33.85,5.450221695
BA SJJ,4585.2,31.71666667,43.85,3.661358284
BE ANR,76702.8,11.08333333,51.21666667,4.884811218
BE BRU,168509,11,50.83333333,5.226623101
BE BRU,168509,11,50.83333333,5.226623101
BG SOF,23293.8,28.31666667,42.68333333,4.367240342
BH AMH,20348.8,50.56666667,26.23333333,4.308538803
BO SRZ,6288.7,-68.18333333,-17.78333333,3.798560877
BR RIO,179189.7,-48.23333333,-22.88333333,5.253313042
BR SAO,458774.1,-56.56666667,-23.56666667,5.661598892
BY MSQ,21157.2,39.23333333,53.9,4.325458191
CL SCL,127586.9,-70.63333333,-33.45,5.105806085
CN BJS,338626.4,126.4,39.91666667,5.529720814
CN GGZ,275964.5,118.2333333,23.13333333,5.440853218
CN NHN,165373.2,120.95,30.58333333,5.21846513
CN SGH,364508.5,123.15,31.23333333,5.56170766
CN SNZ,257782.9,120.7833333,22.55,5.411254105
CN TNJ,258308.6,128.8666667,39.03333333,5.412138866
CO BOG,101260.6,-80.75,4.6,5.005440496
CR SJO,31173.4,-90.75,9.933333333,4.493784172
DE BER,205657.5,18.38333333,52.51666667,5.313144552
DE FRA,179114.5,22.01666667,50.11666667,5.253130745
DE MUC,205386.9,13.25,48.15,5.31257274
DK CPH,129988.4,15.91666667,55.66666667,5.113904598
DO SDQ,24537.5,-84.9,18.46666667,4.389830313
EC GYE,24849.2,-94.9,-2.166666667,4.395312412
EE TLL,15945,31.4,59.43333333,4.202624524
EG CAI,97190.3,32.91666667,30.05,4.987622923
FR MRS,90917.9,13.73333333,43.3,4.958649396
FR PAR,866261.3,5.683333333,48.85,5.937648913
GB BHM,130150.9,-3.583333333,52.46666667,5.114447176
GB GLW,64822.6,-10.91666667,55.83333333,4.811726446
GB LBA,90639.3,-3.25,53.8,4.957316543
GB MNC,106936.8,-5.55,53.5,5.029127184
GE TBS,8749.4,51.45,41.71666667,3.941978272
GR ATH,115421.5,28.73333333,37.98333333,5.062286714
HR ZAG,22192.2,26,45.8,4.346200358
HU BUD,64330,34.08333333,47.5,4.808413551
ID JKT,202635.2,116.8333333,-6.133333333,5.306714889
IL TLV,158723.6,41.41666667,32.05,5.200641505
IN BLR,30715.3,89.25,12.98333333,4.487354761
IN BOM,79468.3,76.15,18.96666667,4.900193923
IN CCU,25401.5,101.6833333,22.56666667,4.404859363
IR THR,88710,53.08333333,35.66666667,4.947972579
IT ROM,194532.9,15.81666667,41.9,5.288993061
JP OSA,670742.6,143.8333333,34.66666667,5.82655589
JP TYO,1513218.5,154.75,35.68333333,6.179901642
KR SEL,666840.9,136.9333333,37.51666667,5.824022229
KZ ALA,42868.8,86.95,43.25,4.632141327
MA CAS,20490.3,-19.26666667,33.58333333,4.311548317
MX MXC,287492.2,-99.125519,19.451054,5.458626066
NL RTM,78488,11.16666667,51.91666667,4.894803263
NO OSL,128713.5,10.73333333,59.9,5.1096241
NZ AKL,67484,181.4666667,-36.83333333,4.829200817
PL WAW,97347.6,22.66666667,52.25,4.988325249
PT LIS,85800.8,-24.13333333,38.71666667,4.933491337
RS BEG,17527.8,20.46666667,44.81666667,4.243727409
RU LED,96633.3,30.25,59.88333333,4.985126811
RU MOW,489014.6,49.26666667,55.75,5.689321826
RU OVB,18914.1,86.26666667,55.03333333,4.276785681
SA RUH,162677,56.76666667,24.63333333,5.211326155
SE GOT,53919.8,13.63333333,57.71666667,4.731748273
SE STO,173092.8,31.38333333,59.33333333,5.238279003
SK BTS,27888.1,28.78333333,48.15,4.445418927
TH BKK,173069.1,100.5166667,13.75,5.238219535
TW TPE,172676.2,123.1833333,25.03333333,5.237232483
UA IEV,27092.9,30.51666667,50.43333333,4.432855494
US HOU,500684.2,-103.6833333,29.75,5.699563887
US NYC,1457141,-80.66666667,40.7,6.163501578
VN SGN,49455.7,116.6666667,10.76666667,4.694216353
ZA CPT,34242.3,31.75,-33.91666667,4.534562928
ZA JNB,59004.6,41.41666667,-26.2,4.770885871
